Grant Name,Sponsor,Link,Open Date,Deadline,Status
"Native American Affairs: Emergency Drought Relief for Tribes Inflation Reduction Act of 2022, Section 80004",Bureau of Reclamation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=359950,07/08/2025,10/14/2025,posted
"U.S. Mission to the United Nations-Geneva, Small Grants Program",U.S. Mission to the United Nations,https://www.grants.gov/web/grants/view-opportunity.html?oppId=344437,11/10/2022,,posted
Public Diplomacy Section Praia: Small Grants Program,U.S. Mission to Cape Verde,https://www.grants.gov/web/grants/view-opportunity.html?oppId=359747,08/27/2025,,posted
Make Every Drop Count,U.S. Mission to Jordan,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360245,08/06/2025,09/06/2025,posted
Cooperative Agreement for affiliated Partner with the Great Basin Cooperative Ecosystem Studies Unit (CESU),Geological Survey,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360346,08/22/2025,09/22/2025,posted
FY 2026 International Visitor Leadership Program Collaborative Services,Bureau Of Educational and Cultural Affairs,https://www.grants.gov/web/grants/view-opportunity.html?oppId=359958,07/09/2025,09/08/2025,posted
Medical Scientist Training Program (MSTP) (T32),National Institutes of Health,https://www.grants.gov/web/grants/view-opportunity.html?oppId=352810,03/04/2024,01/25/2027,posted
Findable Accessible Interoperable Reusable Open Science,U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=358036,01/07/2025,04/08/2026,posted
EONS 2018: Appendix E Minority University Research and Education Project (MUREP) for Sustainability and Innovation Collaborative &ndash; (MUSIC) ,National Aeronautics and Space Administration,https://www.grants.gov/web/grants/view-opportunity.html?oppId=300997,02/22/2018,,posted
Small Grants Program,U.S. Mission to the United Nations,https://www.grants.gov/web/grants/view-opportunity.html?oppId=326733,05/05/2020,,posted
Atlanta FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Department of Commerce,https://www.grants.gov/web/grants/view-opportunity.html?oppId=332052,03/15/2021,,posted
Denver FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Department of Commerce,https://www.grants.gov/web/grants/view-opportunity.html?oppId=332126,03/15/2021,,posted
Austin FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Department of Commerce,https://www.grants.gov/web/grants/view-opportunity.html?oppId=332137,03/15/2021,,posted



python src/fetch_grants.py "battery" --max 50 --outfile data/grants_raw.csv --debug
